classifier_name,dataset_name,accuracy
FCN,ACSF1,0.896
FCN,Adiac,0.8445
FCN,AllGestureWiimoteX,0.71
FCN,AllGestureWiimoteY,0.782
FCN,AllGestureWiimoteZ,0.6871
FCN,ArrowHead,0.84
FCN,BME,0.844
FCN,Beef,0.66
FCN,BeetleFly,0.9
FCN,BirdChicken,0.93
FCN,CBF,0.9938
FCN,Car,0.9067
FCN,Chinatown,0.9796
FCN,ChlorineConcentration,0.804
FCN,CinCECGTorso,0.8229
FCN,Coffee,1
FCN,Computers,0.8176
FCN,CricketX,0.7918
FCN,CricketY,0.7821
FCN,CricketZ,0.8005
FCN,Crop,0.7395
FCN,DiatomSizeReduction,0.3588
FCN,DistalPhalanxOutlineAgeGroup,0.7122
FCN,DistalPhalanxOutlineCorrect,0.7601
FCN,DistalPhalanxTW,0.6935
FCN,DodgerLoopDay,0.3975
FCN,DodgerLoopGame,0.7652
FCN,DodgerLoopWeekend,0.9116
FCN,ECG200,0.88
FCN,ECG5000,0.9405
FCN,ECGFiveDays,0.9882
FCN,EOGHorizontalSignal,0.5735
FCN,EOGVerticalSignal,0.4541
FCN,Earthquakes,0.718
FCN,ElectricDevices,0.7075
FCN,EthanolLevel,0.6796
FCN,FaceAll,0.9381
FCN,FaceFour,0.9273
FCN,FacesUCR,0.9443
FCN,FiftyWords,0.6514
FCN,Fish,0.9611
FCN,FordA,0.9165
FCN,FordB,0.7795
FCN,FreezerRegularTrain,0.9966
FCN,FreezerSmallTrain,0.6973
FCN,Fungi,0.014
FCN,GestureMidAirD1,0.7
FCN,GestureMidAirD2,0.6277
FCN,GestureMidAirD3,0.3262
FCN,GesturePebbleZ1,0.8791
FCN,GesturePebbleZ2,0.7848
FCN,GunPoint,0.9973
FCN,GunPointAgeSpan,0.9918
FCN,GunPointMaleVersusFemale,0.9962
FCN,GunPointOldVersusYoung,0.9879
FCN,Ham,0.7143
FCN,HandOutlines,0.8114
FCN,Haptics,0.474
FCN,Herring,0.65
FCN,HouseTwenty,0.9815
FCN,InlineSkate,0.3233
FCN,InsectEPGRegularTrain,0.9984
FCN,InsectEPGSmallTrain,0.2972
FCN,InsectWingbeatSound,0.3925
FCN,ItalyPowerDemand,0.9627
FCN,LargeKitchenAppliances,0.8997
FCN,Lightning2,0.7344
FCN,Lightning7,0.8274
FCN,Mallat,0.9703
FCN,Meat,0.7833
FCN,MedicalImages,0.7826
FCN,MelbournePedestrian,0.9143
FCN,MiddlePhalanxOutlineAgeGroup,0.5351
FCN,MiddlePhalanxOutlineCorrect,0.7918
FCN,MiddlePhalanxTW,0.5
FCN,MixedShapesRegularTrain,0.9579
FCN,MixedShapesSmallTrain,0.8943
FCN,MoteStrain,0.9343
FCN,NonInvasiveFetalECGThorax1,0.9538
FCN,NonInvasiveFetalECGThorax2,0.9528
FCN,OSULeaf,0.9678
FCN,OliveOil,0.5067
FCN,PLAID,0.9035
FCN,PhalangesOutlinesCorrect,0.8217
FCN,Phoneme,0.3254
FCN,PickupGestureWiimoteZ,0.744
FCN,PigAirwayPressure,0.1923
FCN,PigArtPressure,0.9875
FCN,PigCVP,0.8038
FCN,Plane,1
FCN,PowerCons,0.8722
FCN,ProximalPhalanxOutlineAgeGroup,0.8302
FCN,ProximalPhalanxOutlineCorrect,0.899
FCN,ProximalPhalanxTW,0.7698
FCN,RefrigerationDevices,0.5104
FCN,Rock,0.632
FCN,ScreenType,0.6203
FCN,SemgHandGenderCh2,0.8313
FCN,SemgHandMovementCh2,0.4782
FCN,SemgHandSubjectCh2,0.7418
FCN,ShakeGestureWiimoteZ,0.884
FCN,ShapeletSim,0.7478
FCN,ShapesAll,0.8923
FCN,SmallKitchenAppliances,0.776
FCN,SmoothSubspace,0.9693
FCN,SonyAIBORobotSurface1,0.9651
FCN,SonyAIBORobotSurface2,0.9773
FCN,StarLightCurves,0.9663
FCN,Strawberry,0.9697
FCN,SwedishLeaf,0.967
FCN,Symbols,0.9644
FCN,SyntheticControl,0.9873
FCN,ToeSegmentation1,0.9596
FCN,ToeSegmentation2,0.8877
FCN,Trace,1
FCN,TwoLeadECG,0.9996
FCN,TwoPatterns,0.8695
FCN,UMD,0.9861
FCN,UWaveGestureLibraryAll,0.8145
FCN,UWaveGestureLibraryX,0.7508
FCN,UWaveGestureLibraryY,0.6434
FCN,UWaveGestureLibraryZ,0.7265
FCN,Wafer,0.9972
FCN,Wine,0.6259
FCN,WordSynonyms,0.5643
FCN,Worms,0.7766
FCN,WormsTwoClass,0.7325
FCN,Yoga,0.8424
ResNet,ACSF1,0.916
ResNet,Adiac,0.8332
ResNet,AllGestureWiimoteX,0.7406
ResNet,AllGestureWiimoteY,0.7937
ResNet,AllGestureWiimoteZ,0.7257
ResNet,ArrowHead,0.8377
ResNet,BME,0.9987
ResNet,Beef,0.7533
ResNet,BeetleFly,0.85
ResNet,BirdChicken,0.88
ResNet,CBF,0.9958
ResNet,Car,0.9167
ResNet,Chinatown,0.9784
ResNet,ChlorineConcentration,0.8528
ResNet,CinCECGTorso,0.8378
ResNet,Coffee,1
ResNet,Computers,0.8056
ResNet,CricketX,0.799
ResNet,CricketY,0.8103
ResNet,CricketZ,0.8087
ResNet,Crop,0.7429
ResNet,DiatomSizeReduction,0.3007
ResNet,DistalPhalanxOutlineAgeGroup,0.718
ResNet,DistalPhalanxOutlineCorrect,0.7703
ResNet,DistalPhalanxTW,0.6633
ResNet,DodgerLoopDay,0.15
ResNet,DodgerLoopGame,0.7101
ResNet,DodgerLoopWeekend,0.9522
ResNet,ECG200,0.874
ResNet,ECG5000,0.9351
ResNet,ECGFiveDays,0.9663
ResNet,EOGHorizontalSignal,0.5994
ResNet,EOGVerticalSignal,0.4453
ResNet,Earthquakes,0.7122
ResNet,ElectricDevices,0.7279
ResNet,EthanolLevel,0.7584
